Row No	Audited	Checksum Changed	CreationTime	Detected Date (LCT)	Detected Time (LCT)	Detected Date (UTC)	Detected Time (UTC)	Eof	FileCode	FileKind	FileName	FileType	GuardianFile	HashAlgorithm	HashValue	Host	Id	LastModified	Licensed	OpenTime	OwnerGroupId	OwnerUserId	ProgId	Security	Subvolume	Type	Virtual	Volume	Who
298	N	N	38:08.5	3/26/20	11:08	3/26/20	19:08	"2,048"	101	ENS	XSP	U	$SYSTEM.XYGATESP.XSP			\EST1983	"19,721"	38:08.4	N	07:55.3	253	1	N	NUUU	XYGATESP	Added	N	$SYSTEM	NCI.TOMW
299	N	N	32:07.7	3/26/20	11:08	3/26/20	19:08	"200,704"	440	ENS	TACLSEG	U	$SYSTEM.XYGATESR.TACLSEG			\EST1983	"19,765"	32:07.5	N	07:55.3	253	1	N	NUUU	XYGATESR	Added	N	$SYSTEM	NCI.TOMW
300	N	N	32:04.4	3/26/20	11:08	3/26/20	19:08	"2,048"	101	ENS	XSR	U	$SYSTEM.XYGATESR.XSR			\EST1983	"19,802"	32:04.3	N	07:55.3	253	1	N	NUUU	XYGATESR	Added	N	$SYSTEM	NCI.TOMW
301	N	N	12:22.2	3/26/20	11:08	3/26/20	19:08	"594,376"	800	ENS	ACLIFPR	U	$SYSTEM.XYGATESW.ACLIFPR			\EST1983	"19,822"	11:29.6	N	48:14.7	253	1	N	UUNU	XYGATESW	Added	N	$SYSTEM	QA.VAN
302	N	N	12:27.9	3/26/20	11:08	3/26/20	19:08	"5,322,752"	100	ENS	ACLINFO	U	$SYSTEM.XYGATESW.ACLINFO			\EST1983	"19,823"	11:31.1	Y	29:15.2	253	1	N	UUNU	XYGATESW	Added	N	$SYSTEM	SECURITY.ADMIN
303	N	N	12:19.7	3/26/20	11:08	3/26/20	19:08	"26,080"	800	ENS	ADOPT	U	$SYSTEM.XYGATESW.ADOPT			\EST1983	"19,824"	11:32.1	Y	09:33.6	253	1	N	UUNU	XYGATESW	Added	N	$SYSTEM	QA.VAN
304	N	N	12:19.8	3/26/20	11:08	3/26/20	19:08	"41,856"	800	ENS	ADOPTN	U	$SYSTEM.XYGATESW.ADOPTN			\EST1983	"19,825"	11:31.5	Y	45:29.7	253	1	N	UUNU	XYGATESW	Added	N	$SYSTEM	QA.VAN
305	N	N	12:31.8	3/26/20	11:08	3/26/20	19:08	"12,288"	201	ENS	DICTALT	K	$SYSTEM.XYGATESW.DICTALT			\EST1983	"19,827"	12:32.9	N	11:18.5	253	1	N	NUCU	XYGATESW	Added	N	$SYSTEM	SUPPORT.ANDERSON
306	N	N	12:31.6	3/26/20	11:08	3/26/20	19:08	"12,288"	202	ENS	DICTODF	K	$SYSTEM.XYGATESW.DICTODF			\EST1983	"19,833"	12:32.9	N	11:11.7	253	1	N	NUCU	XYGATESW	Added	N	$SYSTEM	SUPPORT.ANDERSON
307	N	N	12:31.6	3/26/20	11:08	3/26/20	19:08	"12,288"	203	ENS	DICTOTF	K	$SYSTEM.XYGATESW.DICTOTF			\EST1983	"19,834"	12:32.8	N	11:11.8	253	1	N	NUCU	XYGATESW	Added	N	$SYSTEM	SUPPORT.ANDERSON
308	N	N	12:31.7	3/26/20	11:08	3/26/20	19:08	"12,288"	208	ENS	DICTOUF	K	$SYSTEM.XYGATESW.DICTOUF			\EST1983	"19,835"	12:32.9	N	11:13.5	253	1	N	NUCU	XYGATESW	Added	N	$SYSTEM	SUPPORT.ANDERSON
309	N	N	12:31.8	3/26/20	11:08	3/26/20	19:08	"12,288"	208	ENS	DICTOUK	K	$SYSTEM.XYGATESW.DICTOUK			\EST1983	"19,836"	12:32.9	N	11:15.2	253	1	N	NUCU	XYGATESW	Added	N	$SYSTEM	SUPPORT.ANDERSON
310	N	N	12:31.7	3/26/20	11:08	3/26/20	19:08	"12,288"	205	ENS	DICTRDF	K	$SYSTEM.XYGATESW.DICTRDF			\EST1983	"19,837"	12:32.9	N	11:18.5	253	1	N	NUCU	XYGATESW	Added	N	$SYSTEM	SUPPORT.ANDERSON
311	N	N	25:43.0	3/26/20	11:08	3/26/20	19:08	"19,329,488"	800	ENS	ESDKLIB	U	$SYSTEM.XYGATESW.ESDKLIB			\EST1983	"19,867"	54:17.9	N	00:22.4	253	1	N	UUNU	XYGATESW	Added	N	$SYSTEM	QA.VAN
312	N	N	12:29.4	3/26/20	11:08	3/26/20	19:08	"1,357,824"	100	ENS	LICCHK	U	$SYSTEM.XYGATESW.LICCHK			\EST1983	"19,869"	11:34.0	N	30:51.2	253	1	N	UUNU	XYGATESW	Added	N	$SYSTEM	SECURITY.ADMIN
313	N	N	12:28.5	3/26/20	11:08	3/26/20	19:08	"7,411,712"	100	ENS	NETSTAT	U	$SYSTEM.XYGATESW.NETSTAT			\EST1983	"19,873"	11:35.7	N	29:16.4	253	1	N	UUNU	XYGATESW	Added	N	$SYSTEM	SECURITY.ADMIN
314	N	N	12:19.5	3/26/20	11:08	3/26/20	19:08	"99,216"	800	ENS	OSSDSAP	U	$SYSTEM.XYGATESW.OSSDSAP			\EST1983	"19,879"	12:19.7	N	29:16.9	253	1	N	UUNU	XYGATESW	Added	N	$SYSTEM	QA.VAN
315	N	N	12:19.6	3/26/20	11:08	3/26/20	19:08	"38,392"	800	ENS	OSSLIB	U	$SYSTEM.XYGATESW.OSSLIB			\EST1983	"19,880"	11:38.2	Y	29:16.9	253	1	N	UUNU	XYGATESW	Added	N	$SYSTEM	QA.VAN
316	N	N	41:58.0	3/26/20	11:08	3/26/20	19:08	"1,148,928"	100	ENS	PROCINFO	U	$SYSTEM.XYGATESW.PROCINFO			\EST1983	"19,882"	10:30.1	N	00:22.5	253	1	N	UUNU	XYGATESW	Added	N	$SYSTEM	SECURITY.ADMIN
317	N	N	06:08.2	3/26/20	11:08	3/26/20	19:08	"1,138,688"	100	ENS	PROINFO	U	$SYSTEM.XYGATESW.PROINFO			\EST1983	"19,883"	12:42.7	N	00:22.5	253	1	N	UUNU	XYGATESW	Added	N	$SYSTEM	SECURITY.ADMIN
318	N	N	20:56.8	3/26/20	11:08	3/26/20	19:08	420	101	ENS	SWACL	U	$SYSTEM.XYGATESW.SWACL			\EST1983	"19,887"	20:52.3	N	58:04.7	253	1	N	NUUU	XYGATESW	Added	N	$SYSTEM	SECURITY.ADMIN
319	N	N	12:17.6	3/26/20	11:08	3/26/20	19:08	"2,048"	101	ENS	SWCONF	U	$SYSTEM.XYGATESW.SWCONF			\EST1983	"19,888"	12:17.6	N	58:03.9	253	1	N	NUCU	XYGATESW	Added	N	$SYSTEM	SECURITY.ADMIN
320	N	N	12:27.4	3/26/20	11:08	3/26/20	19:08	"3,868,672"	100	ENS	USERINFO	U	$SYSTEM.XYGATESW.USERINFO			\EST1983	"19,895"	11:52.1	Y	29:13.6	253	1	N	UUNU	XYGATESW	Added	N	$SYSTEM	SECURITY.ADMIN
321	N	N	12:22.4	3/26/20	11:08	3/26/20	19:08	"19,240,632"	800	ENS	XYACLPR	U	$SYSTEM.XYGATESW.XYACLPR			\EST1983	"19,910"	12:27.3	N	47:34.3	253	1	N	UUNU	XYGATESW	Added	N	$SYSTEM	QA.VAN
322	N	N	12:17.7	3/26/20	11:08	3/26/20	19:08	"2,774,720"	800	ENS	XYGATESW	U	$SYSTEM.XYGATESW.XYGATESW			\EST1983	"19,911"	11:44.8	N	19:19.3	253	1	Y	UUNU	XYGATESW	Added	N	$SYSTEM	QA.VAN
323	N	N	12:19.9	3/26/20	11:08	3/26/20	19:08	"19,349,752"	800	ENS	XYHASH	U	$SYSTEM.XYGATESW.XYHASH			\EST1983	"19,912"	12:27.3	N	09:33.6	253	1	N	UUNU	XYGATESW	Added	N	$SYSTEM	QA.VAN
324	N	N	42:53.9	3/26/20	11:08	3/26/20	19:08	"2,048"	101	ENS	LOADXOA	U	$SYSTEM.XYGATEAC.LOADXOA			\EST1983	"17,467"	42:53.8	N	48:05.2	253	1	N	NUUU	XYGATEAC	Added	N	$SYSTEM	NCI.TOMW
325	N	N	42:53.0	3/26/20	11:08	3/26/20	19:08	"151,552"	440	ENS	TACLSEG	U	$SYSTEM.XYGATEAC.TACLSEG			\EST1983	"17,538"	42:52.9	N	07:55.2	253	1	N	NUUU	XYGATEAC	Added	N	$SYSTEM	NCI.TOMW
326	N	N	42:47.5	3/26/20	11:08	3/26/20	19:08	268	101	ENS	VOLMAC	U	$SYSTEM.XYGATEAC.VOLMAC			\EST1983	"17,544"	11:54.1	N	48:05.2	253	1	N	NUUU	XYGATEAC	Added	N	$SYSTEM	NCI.TOMW
327	N	N	42:50.9	3/26/20	11:08	3/26/20	19:08	"2,048"	101	ENS	XAC	U	$SYSTEM.XYGATEAC.XAC			\EST1983	"17,546"	42:50.9	N	07:55.2	253	1	N	NUUU	XYGATEAC	Added	N	$SYSTEM	NCI.TOMW
