id,title,overview,premiere_date,popularity,genre,country_origin,original_language,rating,votes
1184,Beyblade,"Thirteen-year-old Takao Kinomiya (Tyson Granger), along with his fellow teammates, Kai Hiwatari, Max Mizuhura (Max Tate), and Rei Kon (Ray Kon), strive to become the greatest Beybladers in the world. With the technical help of the team's resident genius, Kyoujyu (Kenny), and with the powerful strength of their BitBeasts, the Bladebreakers armed with their Beys attempt to reach their goal.",1/8/01,8.2461,"Kids, Action & Adventure, Animation, Sci-Fi & Fantasy, Comedy",Japan,Japanese,7.7,227
1185,¡Vivan los niños!,"¡Vivan los niños! is a Mexican telenovela for children that premiered in 2002. It ran for 155 episodes and finished in 2003. The opening, Vivan los niños, was recorded by the Latin pop group OV7. One of its closing themes, also entitled Vivan los niños, was performed by Cuban-American singer and songwriter Ana Cristina. The show is a version of the Argentinian telenovela ""Jacinta Pichimahuida, la maestra que no se olvida"".

The series starred Andrea Legarreta as 2nd grade teacher Lupita Gómez. After the series ended, Andrea became the long-time host of the morning talk show Hoy. On July 12, 2012, in celebration of Andrea's birthday, the producers of Hoy reunited her with the young actors who played her students on the series.",7/15/02,1.4614,"Soap, Kids","Mexico, United States",Spanish,7.7,207
1186,Recess,"Join a group of six fourth-grade best friends at Third Street Elementary School on their fun-filled adventures in their school playground. Through the ups-and-downs of adolescence, they must wrestle with authority, avoid the school snitch, and try their best to win at kick-ball.",9/13/97,15.4034,"Animation, Kids, Comedy",United States,English,7.7,496
1187,Lupin,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.",1/8/21,13.528,"Crime, Drama, Mystery",France,French,7.7,2441
1188,We Bare Bears,"Three brother bears awkwardly attempt to find their place in civilized  society, whether they're looking for food, trying to make human friends,  or scheming to become famous on the internet. Grizzly, Panda and Ice  Bear stack atop one another when they leave their cave and explore the  hipster environs of the San Francisco Bay Area, and it's clear the  siblings have a lot to learn about a technologically driven world. By  their side on many adventures are best friend Chloe (the only human  character in the cast), fame-obsessed panda Nom Nom, and Charlie, aka  Bigfoot.",8/24/15,20.3096,"Family, Comedy, Animation, Kids",United States,English,7.7,1819
1189,100 días para enamorarnos,"Two couples who struggle to be near each other decide to give another chance for each other, 100 days for them to fall back in love.",4/28/20,5.4474,"Drama, Comedy",United States,Spanish,7.7,1037
1190,Wild Wild Country,"When a controversial cult leader builds a utopian city in the Oregon desert, conflict with the locals escalates into a national scandal.",3/16/18,1.5901,"Documentary, Crime",United States,English,7.723,271
1191,Star Wars Rebels,"Set between the events of Star Wars: Episodes III and IV, the story unfolds during a dark time when the evil Galactic Empire is tightening its grip of power on the galaxy. Imperial forces have occupied a remote planet and are ruining the lives of its people. The motley but clever crew of the starship Ghost — cowboy Jedi Kanan, ace pilot Hera, street-smart teenager Ezra, the “muscle” Zeb, warrior firebrand Sabine, and cantankerous old astromech droid Chopper — is among a select few who are brave enough to stand against the Empire. Together, they will face threatening new villains, encounter colorful adversaries, embark on thrilling adventures, and become heroes with the power to ignite a rebellion.",10/13/14,14.323,"Action & Adventure, Animation, Sci-Fi & Fantasy",United States,English,7.7,946
1192,Married... with Children,"Al Bundy is an unsuccessful middle aged shoe salesman with a miserable life and an equally dysfunctional family. He hates his job, his wife is lazy, his son is dysfunctional (especially with women), and his daughter is dim-witted and promiscuous.",4/5/87,29.8521,Comedy,United States,English,7.723,1123
1193,Drop Dead Diva,"A shallow model suddenly dies in an accident only to find her soul resurfacing in the body of a brilliant, plus-sized attorney.",7/12/09,11.6175,"Comedy, Drama",United States,English,7.7,272
1194,Good American Family,A Midwestern couple adopts who they believe to be a little girl with dwarfism but gradually started to believe she may not be who she said she was.,3/19/25,5.7357,Drama,United States,English,7.716,204
1195,Duncanville,"Like most 15-year-olds, Duncan can see adulthood on the horizon: money, freedom, cars and girls; but the reality is more like: always being broke, driving with one's mom sitting shotgun and babysitting one's sister. He's not exceptional, but he has a wild imagination in which he's never anything less than amazing.",2/16/20,4.8656,"Comedy, Animation",United States,English,7.7,272
1196,A Terra Prometida,,7/5/16,7.5512,Soap,Brazil,Portuguese,7.7,442
1197,Psycho-Pass,"In the year 2113, people are given brain scans to determine how likely they are to commit a crime. Those who fail are apprehended, or even killed.",10/12/12,15.2832,"Animation, Crime, Sci-Fi & Fantasy, Action & Adventure",Japan,Japanese,7.719,440
1198,Green Lantern: The Animated Series,The Green Lanterns Hal and his partner Kilowog fight against the forces of the Red Lanterns.,11/11/11,5.1705,"Action & Adventure, Animation, Sci-Fi & Fantasy, Kids",United States,English,7.718,202
1199,Animal Kingdom,"17-year-old Joshua ""J"" Cody moves in with his freewheeling relatives in their Southern California beach town after his mother dies of a heroin overdose. Headed by boot-tough matriarch Janine ""Smurf"" Cody and her right-hand Baz, who runs the business and calls the shots, the clan also consists of Pope, the oldest and most dangerous of the Cody boys; Craig, the tough and fearless middle son; and Deran, the troubled, suspicious ""baby"" of the family.",6/14/16,20.4139,"Crime, Drama",United States,English,7.7,481
1200,The Asterisk War,"Invertia was a meteor storm that caused an unprecedented disaster  during the 20th century. Because of this disaster, numerous cities  around the world were destroyed. However, within the meteor, an unknown  element called mana was discovered. It allowed human technology to make  rapid strides giving rise to a new species of super-powered humans, the  Star Pulse Generation (Genestella). The Festas (Star Warrior Festivals)  host battles between Genestella at a city of six academies called  “Rikka,” also commonly known as “Asterisk.”

Scholarship student Ayato  Amagiri transferred into Seidoukan Academy in order to fulfill his own  wish, swearing he too will fight in this city.",10/3/15,4.7434,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,7.717,205
1201,Unsolved Mysteries,"Real cases of perplexing disappearances, shocking murders and paranormal encounters fuel this gripping revival of the iconic documentary series.",7/1/20,2.8162,"Documentary, Drama, Mystery",United States,English,7.7,320
1202,Versailles,"The story of a young Louis XIV on his journey to become the most powerful monarch in Europe, from his battles with the fronde through his development into the Sun King. Historical and fictional characters guide us in a world of betrayal and political maneuvering, revealing Versailles in all its glory and brutality.",11/16/15,6.8128,Drama,France,English,7.716,218
1203,CSI: Miami,"CSI: Miami follows Crime Scene Investigators working for the Miami-Dade Police Department as they use physical evidence, similar to their Las Vegas counterparts, to solve grisly murders. The series mixes deduction, gritty subject matter, and character-driven drama in the same vein as the original series in the CSI franchise, except that the Miami CSIs are cops first, scientists second.",9/23/02,49.8775,"Drama, Mystery, Crime",United States,English,7.7,1655
1204,Gen V,"At America's only college for superheroes, gifted students put their moral boundaries to the test, competing for the university's top ranking, and a chance to join The Seven, Vought International's elite superhero team. When the school's dark secrets come to light, they must decide what kind of heroes they want to become.",9/28/23,29.4439,"Action & Adventure, Drama, Sci-Fi & Fantasy",United States,English,7.714,1265
1205,DC's Stargirl,"Courtney Whitmore, a smart, athletic and above all else kind girl, discovers her step-father has a secret: he used to be the sidekick to a superhero. ""Borrowing"" the long-lost hero’s cosmic staff, she becomes the unlikely inspiration for an entirely new generation of superheroes.",5/18/20,8.7384,"Sci-Fi & Fantasy, Action & Adventure, Drama",United States,English,7.7,1138
1206,Soy tu dueña,"Soy Tu Dueña is a Mexican telenovela produced by Nicandro Díaz González for Televisa. It starred Lucero, Gabriela Spanic, Fernando Colunga, David Zepeda, Sergio Goyri and Jacqueline Andere.",6/15/10,2.9071,Drama,Mexico,Spanish,7.715,586
1207,Seven Deadly Sins,"The series traces the history of the seven deadly sins, how they became part of religious doctrine, and looks at historical figures who have been the worst perpetrators of each. Each of the seven sins is explored, from their origins and nature, their opposing virtue, and their corresponding punishment.",12/29/08,0.6588,Documentary,United States,English,7.715,2285
1208,Deception,"Cameron Black is the world's greatest illusionist. At least, that's what people used to call him—before his greatest secret was exposed and his career destroyed. Even worse, Cameron has good reason to believe this was no accident.",3/11/18,4.6337,"Drama, Crime",United States,English,7.714,241
1209,"Hensuki: Are You Willing to Fall in Love With a Pervert, As Long As She's a Cutie?","A high school student whose years of not having a girlfriend is his age, Keiki Kiryuu, suddenly receives a love letter. He is happy he can finally have a girlfriend, but is also surprised because not only is there no sender name but also included is white underwear…??? The cute girls who gather around him are all weird and with reasons!? Who is the Cinderella who sent the underwear?",7/8/19,2.4675,"Animation, Comedy, Mystery",Japan,Japanese,7.7,530
1210,Murdoch Mysteries,"A Victorian-era Toronto detective uses then-cutting edge forensic techniques to solve crimes, with the assistance of a female coroner who is also struggling for recognition in the face of tradition, based on the books by Maureen Jennings.",1/24/08,30.2133,"Mystery, Drama",Canada,English,7.7,275
1211,The New Adventures of Winnie the Pooh,An American animated children's television series inspired by A. A. Milne's Winnie-the-Pooh stories.,9/10/88,11.3826,"Family, Animation, Comedy, Kids",United States,English,7.7,256
1212,American Dragon: Jake Long,"American Dragon is a coming of age comedy-action series about Jake Long, a 13-year-old Asian-American boy who strives to find balance in his life as a skateboard-grinding, New York 'tween while learning to master his mystical powers (in his secret identity) as the American Dragon, the protector and guardian of all magical creatures secretly living amidst the human world.",1/21/05,10.3006,"Animation, Comedy, Action & Adventure, Family, Kids",United States,English,7.712,490
